Pokemon,Rate,Level,Type,Location,Location Id,Overall Rate
PIDGEY,20,2 - 5,Land,Route 1,032,20
RATTATA,40,2 - 5,Land,Route 1,032,
TAILLOW,10,2 - 5,Land,Route 1,032,
SENTRET,30,2 - 5,Land,Route 1,032,
HOOTHOOT,20,2 - 5,LandNight,Route 1,032,20
POOCHYENA,40,2 - 5,LandNight,Route 1,032,
RATTATA,10,2 - 5,LandNight,Route 1,032,
TAILLOW,10,2 - 5,LandNight,Route 1,032,
SENTRET,10,2 - 5,LandNight,Route 1,032,
PIDGEY,10,2 - 5,LandNight,Route 1,032,
CATERPIE,20,4 - 6,Land,Golden Forest,022,20
VENONAT,15,4 - 6,Land,Golden Forest,022,
WURMPLE,20,4 - 6,Land,Golden Forest,022,
JOLTIK,5,4 - 6,Land,Golden Forest,022,
PIDOVE,20,4 - 6,Land,Golden Forest,022,
PATRAT,10,4 - 6,Land,Golden Forest,022,
LEDYBA,10,4 - 6,Land,Golden Forest,022,
VENONAT,15,4 - 6,LandNight,Golden Forest,022,
WURMPLE,20,4 - 6,LandNight,Golden Forest,022,
JOLTIK,5,4 - 6,LandNight,Golden Forest,022,
PIDOVE,20,4 - 6,LandNight,Golden Forest,022,
PATRAT,10,4 - 6,LandNight,Golden Forest,022,
SPINARAK,10,4 - 6,LandNight,Golden Forest,022,
SPEAROW,30,5 - 8,Land,Route 2,076,30
ZIGZAGOON,30,5 - 8,Land,Route 2,076,
SURSKIT,15,5 - 8,Land,Route 2,076,
DEWPIDER,15,5 - 8,Land,Route 2,076,
PIKACHU,5,5 - 8,Land,Route 2,076,
LOTAD,5,5 - 8,Land,Route 2,076,
